city,hotel_type,price_lkr,transport_lkr,meal_lkr,tuk_tuk_lkr_per_km,bus_lkr,train_lkr,taxi_lkr,season,tourist_rating
Kandy,Mid-range,7646,2500,1087,120,80,350,900,off-peak,4.8
Trincomalee,5-star,12578,643,2927,190,130,0,1400,off-peak,3.1
Sigiriya,5-star,18255,573,4623,200,150,0,1500,peak,3.0
Ella,Budget,2201,1520,446,150,100,400,1200,peak,4.6
Kandy,Mid-range,9831,2684,968,120,80,350,900,off-peak,4.2
Trincomalee,Mid-range,6900,2943,1368,190,130,0,1400,off-peak,4.9
Mirissa,Mid-range,7997,1334,1991,180,120,500,1100,off-peak,4.6
Kandy,5-star,14248,641,5661,120,80,350,900,off-peak,4.0
Mirissa,5-star,8163,2483,5675,180,120,500,1100,peak,3.3
Anuradhapura,5-star,11350,1404,5390,210,140,420,1600,peak,4.8
Kandy,5-star,15592,845,4422,120,80,350,900,peak,4.4
Sigiriya,Budget,2858,1314,386,200,150,0,1500,peak,3.3
Polonnaruwa,5-star,10503,2375,2913,200,130,410,1550,peak,4.0
Sigiriya,5-star,14961,1195,5498,200,150,0,1500,off-peak,4.1
Colombo,5-star,13348,2755,3921,100,60,0,800,peak,4.7
Anuradhapura,Mid-range,4414,2626,1276,210,140,420,1600,off-peak,3.1
Anuradhapura,5-star,8120,1365,4760,210,140,420,1600,peak,4.1
Trincomalee,Budget,2082,582,480,190,130,0,1400,peak,4.8
Trincomalee,5-star,10004,1828,3857,190,130,0,1400,peak,3.3
Kandy,Budget,4209,770,362,120,80,350,900,peak,3.9
Trincomalee,Budget,2649,671,357,190,130,0,1400,peak,4.1
Galle,Mid-range,8662,1787,1138,160,100,450,1000,peak,3.8
Nuwara Eliya,5-star,17988,1234,4669,170,110,380,1300,peak,3.4
Polonnaruwa,Mid-range,3040,2170,1023,200,130,410,1550,peak,4.9
Kandy,Budget,2649,1548,612,120,80,350,900,peak,4.2
Nuwara Eliya,5-star,15986,2957,2147,170,110,380,1300,off-peak,4.4
Kandy,Budget,4942,1094,591,120,80,350,900,peak,4.8
Galle,5-star,18292,2469,3594,160,100,450,1000,peak,4.9
Sigiriya,Mid-range,8098,1949,1334,200,150,0,1500,peak,3.4
Galle,Mid-range,8370,1284,1465,160,100,450,1000,peak,4.7
Mirissa,Mid-range,4121,627,1490,180,120,500,1100,off-peak,3.7
Ella,5-star,17923,2942,3391,150,100,400,1200,off-peak,4.7
Ella,5-star,12006,1261,4449,150,100,400,1200,off-peak,3.0
Trincomalee,5-star,10070,2673,3375,190,130,0,1400,off-peak,4.5
Ella,5-star,14724,1002,5992,150,100,400,1200,off-peak,4.4
Sigiriya,Budget,4104,1423,350,200,150,0,1500,off-peak,3.4
Colombo,Mid-range,9162,1447,1493,100,60,0,800,off-peak,3.5
Anuradhapura,5-star,6360,1851,3971,210,140,420,1600,off-peak,4.6
Galle,5-star,14510,2173,5922,160,100,450,1000,peak,3.1
