tourist_id,start_date,end_date,num_days,budget_usd,budget_lkr,travel_preferences,trip_style,accommodation_pct,transport_pct,food_pct,activities_pct,misc_pct
T001,2024-01-05,2024-01-12,7,500,160000,Adventure,budget,0.28,0.25,0.30,0.12,0.05
T002,2024-01-10,2024-01-17,7,1200,384000,Relaxation,luxury,0.45,0.18,0.22,0.10,0.05
T003,2024-01-15,2024-01-22,7,800,256000,Cultural,comfort,0.38,0.22,0.25,0.10,0.05
T004,2024-02-01,2024-02-05,4,300,96000,Adventure,budget,0.26,0.28,0.30,0.11,0.05
T005,2024-02-10,2024-02-20,10,2000,640000,Relaxation,luxury,0.48,0.17,0.20,0.10,0.05
T006,2024-02-15,2024-02-22,7,600,192000,Nature,budget,0.27,0.26,0.30,0.12,0.05
T007,2024-03-01,2024-03-08,7,1500,480000,Food & Dining,comfort,0.35,0.20,0.32,0.08,0.05
T008,2024-03-05,2024-03-10,5,400,128000,Adventure,budget,0.25,0.27,0.31,0.12,0.05
T009,2024-03-12,2024-03-19,7,900,288000,Historical,comfort,0.38,0.22,0.24,0.11,0.05
T010,2024-03-20,2024-03-27,7,1800,576000,Relaxation,luxury,0.47,0.18,0.20,0.10,0.05
T011,2024-04-01,2024-04-08,7,550,176000,Nature,budget,0.27,0.25,0.31,0.12,0.05
T012,2024-04-05,2024-04-15,10,2500,800000,Relaxation,luxury,0.50,0.16,0.19,0.10,0.05
T013,2024-04-10,2024-04-14,4,350,112000,Cultural,comfort,0.36,0.23,0.26,0.10,0.05
T014,2024-04-15,2024-04-22,7,700,224000,Food & Dining,comfort,0.34,0.21,0.33,0.07,0.05
T015,2024-05-01,2024-05-14,13,1000,320000,Adventure,budget,0.26,0.26,0.30,0.13,0.05
T016,2024-05-05,2024-05-12,7,1600,512000,Beach,luxury,0.46,0.18,0.21,0.10,0.05
T017,2024-05-10,2024-05-17,7,450,144000,Photography,balanced,0.33,0.23,0.27,0.12,0.05
T018,2024-05-15,2024-05-20,5,800,256000,Cultural,comfort,0.37,0.22,0.25,0.11,0.05
T019,2024-06-01,2024-06-08,7,500,160000,Nature,budget,0.28,0.25,0.30,0.12,0.05
T020,2024-06-05,2024-06-15,10,3000,960000,Relaxation,luxury,0.50,0.16,0.19,0.10,0.05
T021,2024-06-10,2024-06-17,7,650,208000,Shopping,balanced,0.32,0.22,0.26,0.12,0.08
T022,2024-06-15,2024-06-22,7,1100,352000,Historical,comfort,0.39,0.21,0.24,0.11,0.05
T023,2024-07-01,2024-07-05,4,280,89600,Adventure,budget,0.25,0.28,0.31,0.11,0.05
T024,2024-07-05,2024-07-19,14,2200,704000,Beach,luxury,0.48,0.17,0.20,0.10,0.05
T025,2024-07-10,2024-07-17,7,750,240000,Food & Dining,comfort,0.35,0.20,0.33,0.07,0.05
T026,2024-07-15,2024-07-22,7,500,160000,Adventure,budget,0.27,0.26,0.30,0.12,0.05
T027,2024-08-01,2024-08-08,7,1300,416000,Cultural,comfort,0.38,0.21,0.25,0.11,0.05
T028,2024-08-05,2024-08-10,5,600,192000,Nature,budget,0.27,0.25,0.31,0.12,0.05
T029,2024-08-12,2024-08-19,7,1900,608000,Relaxation,luxury,0.47,0.17,0.21,0.10,0.05
T030,2024-08-20,2024-08-27,7,800,256000,Nightlife,balanced,0.31,0.24,0.27,0.11,0.07
T031,2024-09-01,2024-09-08,7,480,153600,Adventure,budget,0.26,0.27,0.31,0.11,0.05
T032,2024-09-05,2024-09-15,10,2800,896000,Beach,luxury,0.49,0.16,0.20,0.10,0.05
T033,2024-09-10,2024-09-17,7,700,224000,Food & Dining,comfort,0.35,0.21,0.32,0.07,0.05
T034,2024-09-15,2024-09-20,5,550,176000,Historical,comfort,0.37,0.22,0.25,0.11,0.05
T035,2024-10-01,2024-10-08,7,400,128000,Photography,balanced,0.32,0.23,0.28,0.12,0.05
T036,2024-10-05,2024-10-19,14,3500,1120000,Relaxation,luxury,0.52,0.15,0.18,0.10,0.05
T037,2024-10-10,2024-10-17,7,600,192000,Nature,budget,0.27,0.26,0.30,0.12,0.05
T038,2024-10-15,2024-10-22,7,1000,320000,Cultural,comfort,0.38,0.22,0.24,0.11,0.05
T039,2024-11-01,2024-11-05,4,320,102400,Adventure,budget,0.25,0.28,0.31,0.11,0.05
T040,2024-11-05,2024-11-15,10,2100,672000,Beach,luxury,0.47,0.17,0.21,0.10,0.05
T041,2024-11-10,2024-11-17,7,580,185600,Shopping,balanced,0.31,0.23,0.27,0.12,0.07
T042,2024-11-15,2024-11-22,7,850,272000,Food & Dining,comfort,0.35,0.20,0.33,0.07,0.05
T043,2024-12-01,2024-12-08,7,1400,448000,Relaxation,luxury,0.46,0.18,0.21,0.10,0.05
T044,2024-12-05,2024-12-10,5,450,144000,Cultural,comfort,0.37,0.22,0.25,0.11,0.05
T045,2024-12-10,2024-12-24,14,4000,1280000,Beach,luxury,0.52,0.15,0.18,0.10,0.05
T046,2024-12-15,2024-12-22,7,700,224000,Historical,comfort,0.38,0.21,0.25,0.11,0.05
T047,2025-01-01,2025-01-08,7,520,166400,Nature,budget,0.27,0.25,0.31,0.12,0.05
T048,2025-01-05,2025-01-15,10,1700,544000,Relaxation,luxury,0.46,0.18,0.21,0.10,0.05
T049,2025-01-10,2025-01-17,7,600,192000,Adventure,budget,0.26,0.27,0.30,0.12,0.05
T050,2025-01-15,2025-01-22,7,950,304000,Food & Dining,comfort,0.36,0.20,0.32,0.07,0.05
