user_id,destination,age,nationality,interest,trip_cost_lkr,rating,tags,category,entry_fee_lkr,budget_level,trip_duration,travel_month,group_size
user_1000,Trincomalee,60,DE,nature,476662,3.5,"beach,nature,diving",Beach,0,high,14,11,1
user_1001,Polonnaruwa,32,US,relaxation,189438,4.0,"history,heritage,ruins",Heritage,3000,high,7,6,6
user_1002,Nuwara Eliya,64,CA,adventure,426330,4.8,"nature,scenic,tea",Nature,0,high,14,12,5
user_1003,Sigiriya,58,AU,photography,458801,2.7,"history,nature,adventure",Heritage,4500,high,11,7,3
user_1004,Trincomalee,27,ES,photography,313589,2.3,"beach,nature,diving",Beach,0,high,8,5,6
user_1005,Kandy,32,US,hiking,108754,4.2,"culture,history,temple",Cultural,1500,medium,6,12,3
user_1006,Sigiriya,36,ES,culture,406506,3.8,"history,nature,adventure",Heritage,4500,high,7,6,2
user_1007,Nuwara Eliya,41,CN,culture,447420,4.2,"nature,scenic,tea",Nature,0,high,11,8,4
user_1008,Galle,26,IN,culture,274765,3.0,"history,culture,beach",Heritage,0,high,8,3,2
user_1009,Galle,31,US,photography,80101,3.4,"history,culture,beach",Heritage,0,medium,10,6,6
user_1010,Colombo,26,CN,relaxation,53108,3.0,"urban,culture,food",City,0,medium,7,3,6
user_1011,Colombo,49,MY,hiking,367599,3.4,"urban,culture,food",City,0,high,12,1,5
user_1012,Kandy,39,CN,adventure,357100,3.4,"culture,history,temple",Cultural,1500,high,7,9,2
user_1013,Sigiriya,65,RU,culture,302402,1.6,"history,nature,adventure",Heritage,4500,high,5,8,3
user_1014,Colombo,51,AU,food,139545,5.0,"urban,culture,food",City,0,medium,3,9,6
user_1015,Trincomalee,26,ES,beach,117873,4.6,"beach,nature,diving",Beach,0,medium,7,1,2
user_1016,Sigiriya,65,ES,wildlife,417601,2.1,"history,nature,adventure",Heritage,4500,high,4,12,5
user_1017,Nuwara Eliya,20,UK,food,19769,3.8,"nature,scenic,tea",Nature,0,low,8,6,6
user_1018,Anuradhapura,65,IT,culture,90766,3.3,"history,heritage,culture",Heritage,3500,medium,2,9,3
user_1019,Colombo,23,SG,food,19385,1.2,"urban,culture,food",City,0,low,9,1,2
user_1020,Ella,44,RU,hiking,69602,2.0,"nature,adventure,scenic",Nature,0,medium,8,12,2
user_1021,Trincomalee,45,IN,beach,23377,3.2,"beach,nature,diving",Beach,0,low,13,5,5
user_1022,Galle,18,CA,history,147485,2.3,"history,culture,beach",Heritage,0,medium,9,8,5
user_1023,Nuwara Eliya,57,IN,wildlife,227899,2.4,"nature,scenic,tea",Nature,0,high,7,1,1
user_1024,Ella,55,IN,relaxation,58847,1.9,"nature,adventure,scenic",Nature,0,medium,7,11,1
user_1025,Galle,28,US,relaxation,170214,4.4,"history,culture,beach",Heritage,0,high,6,2,3
user_1026,Anuradhapura,43,NL,food,427547,2.8,"history,heritage,culture",Heritage,3500,high,1,3,4
user_1027,Colombo,22,UK,relaxation,439967,4.4,"urban,culture,food",City,0,high,7,11,4
user_1028,Sigiriya,54,DE,relaxation,117254,4.2,"history,nature,adventure",Heritage,4500,medium,14,3,2
user_1029,Ella,30,MY,nature,356486,1.8,"nature,adventure,scenic",Nature,0,high,5,11,2
user_1030,Galle,39,CN,wildlife,40746,4.3,"history,culture,beach",Heritage,0,low,4,7,2
user_1031,Mirissa,33,US,hiking,351943,2.0,"beach,nature,relaxation",Beach,0,high,10,12,3
user_1032,Kandy,20,RU,adventure,54286,1.6,"culture,history,temple",Cultural,1500,medium,14,12,6
user_1033,Polonnaruwa,58,US,culture,478541,3.6,"history,heritage,ruins",Heritage,3000,high,4,5,1
user_1034,Trincomalee,50,DE,wildlife,58456,3.1,"beach,nature,diving",Beach,0,medium,14,7,6
user_1035,Mirissa,19,NL,hiking,419690,3.7,"beach,nature,relaxation",Beach,0,high,6,10,3
user_1036,Anuradhapura,27,IN,wildlife,413866,1.2,"history,heritage,culture",Heritage,3500,high,7,10,5
user_1037,Mirissa,41,US,photography,151585,2.8,"beach,nature,relaxation",Beach,0,high,1,10,4
user_1038,Polonnaruwa,44,ES,wildlife,286650,1.1,"history,heritage,ruins",Heritage,3000,high,1,4,5
user_1039,Colombo,57,CA,beach,36794,2.0,"urban,culture,food",City,0,low,3,3,5
user_1040,Galle,22,ES,culture,435979,2.1,"history,culture,beach",Heritage,0,high,10,2,6
user_1041,Galle,43,CA,hiking,222610,4.4,"history,culture,beach",Heritage,0,high,5,4,2
user_1042,Kandy,24,JP,hiking,18747,4.8,"culture,history,temple",Cultural,1500,low,12,2,6
user_1043,Trincomalee,23,CN,relaxation,259319,4.8,"beach,nature,diving",Beach,0,high,10,12,5
user_1044,Polonnaruwa,37,DE,history,71108,2.1,"history,heritage,ruins",Heritage,3000,medium,13,1,2
user_1045,Galle,53,MY,hiking,115657,4.5,"history,culture,beach",Heritage,0,medium,1,12,6
user_1046,Trincomalee,42,CA,photography,433815,3.7,"beach,nature,diving",Beach,0,high,8,2,2
user_1047,Kandy,20,US,nature,224867,4.8,"culture,history,temple",Cultural,1500,high,10,1,3
user_1048,Galle,21,CA,culture,444919,4.7,"history,culture,beach",Heritage,0,high,9,10,4
user_1049,Mirissa,35,FR,adventure,58746,1.2,"beach,nature,relaxation",Beach,0,medium,9,12,6
user_1050,Ella,53,UK,adventure,336215,1.2,"nature,adventure,scenic",Nature,0,high,1,11,1
user_1051,Polonnaruwa,35,NL,culture,138770,3.0,"history,heritage,ruins",Heritage,3000,medium,4,7,3
user_1052,Trincomalee,36,IN,relaxation,413388,3.4,"beach,nature,diving",Beach,0,high,3,2,4
user_1053,Mirissa,21,RU,photography,337861,2.4,"beach,nature,relaxation",Beach,0,high,12,4,4
user_1054,Nuwara Eliya,60,DE,adventure,406489,4.8,"nature,scenic,tea",Nature,0,high,4,5,6
user_1055,Kandy,62,ES,photography,349644,3.6,"culture,history,temple",Cultural,1500,high,2,8,4
user_1056,Anuradhapura,22,SG,hiking,269598,4.2,"history,heritage,culture",Heritage,3500,high,12,5,6
user_1057,Sigiriya,43,FR,nature,151982,3.2,"history,nature,adventure",Heritage,4500,high,9,8,2
user_1058,Galle,58,UK,food,259015,1.7,"history,culture,beach",Heritage,0,high,2,4,6
user_1059,Anuradhapura,52,IT,history,141642,4.1,"history,heritage,culture",Heritage,3500,medium,13,5,6
user_1060,Sigiriya,49,IN,food,433499,3.6,"history,nature,adventure",Heritage,4500,high,8,11,3
user_1061,Trincomalee,52,NL,relaxation,476718,2.4,"beach,nature,diving",Beach,0,high,12,11,3
user_1062,Nuwara Eliya,32,IN,adventure,229399,4.2,"nature,scenic,tea",Nature,0,high,13,12,5
user_1063,Ella,51,RU,hiking,96796,2.4,"nature,adventure,scenic",Nature,0,medium,7,6,4
user_1064,Polonnaruwa,32,MY,adventure,452530,1.3,"history,heritage,ruins",Heritage,3000,high,8,1,6
user_1065,Polonnaruwa,55,NL,food,173688,4.1,"history,heritage,ruins",Heritage,3000,high,9,12,6
