service_type,min_price_lkr,max_price_lkr,avg_price_lkr,region
tuk_tuk_per_km,50,120,80,Colombo
tuk_tuk_per_km,40,100,65,Kandy
tuk_tuk_per_km,30,90,55,Ella
van_full_day,8000,20000,13000,National
van_half_day,4000,10000,6500,National
car_full_day,6000,15000,9500,National
car_half_day,3000,8000,5000,National
bus_intercity,100,800,400,National
taxi_airport,2500,5000,3500,Colombo
hotel_budget,2500,6000,4000,Ella
hotel_budget,3000,7000,5000,Kandy
hotel_budget,4000,9000,6500,Colombo
hotel_mid,6000,15000,10000,Colombo
hotel_mid,5000,12000,8000,Kandy
hotel_mid,4500,11000,7000,Ella
hotel_luxury,15000,50000,30000,Colombo
hotel_luxury,12000,40000,25000,Kandy
hotel_luxury,10000,35000,20000,Ella
activity_surf,3000,8000,5000,Mirissa
activity_whale_watching,4000,9000,6500,Mirissa
activity_sigiriya_entry,5000,5000,5000,Sigiriya
activity_safari,6000,15000,10000,Yala
activity_cooking_class,2000,5000,3500,National
activity_temple_entry,500,2000,1000,National
guide_per_day,3000,10000,6000,National
guide_half_day,1500,5000,3000,National
meal_local,200,600,400,National
meal_tourist,600,2000,1200,National
meal_fine_dining,2000,6000,4000,Colombo
